dist_id,district,flood11,flood12,flood13,flood14,flood15,flood16,Popl,wat_cov,san_cov,hw_cov,score,cas11,cas12,cas13,cas14,cas15,cas16,lat,lon,region,total_flood_years,total_cases,cases_per_100k,flood_years_pct,neighbor_mean_rate,lisa_class,local_morans_i
63,Kyankwanzi,1,0,0,0,0,0,214693,92,59.0,15.6,30,0,0,0,0,0,0,1.1,31.75,Central,1,0,0.0,16.666666666666664,60.901237315938985,Low-High (Outlier),-0.15691301294691667
64,Kyegegwa,0,0,0,0,0,0,281637,28,70.9,22.0,53,0,0,0,0,0,0,0.48,31.05,Western,0,0,0.0,0.0,9.833292573571372,Low-Low (Coldspot Cluster),0.11360150279081811
65,Kyenjojo,0,0,0,0,0,0,422204,50,87.0,38.9,65,0,0,0,0,0,0,0.62,30.65,Western,0,0,0.0,0.0,64.45608191765017,Low-High (Outlier),-0.17574355470468972
66,Lamwo,0,1,1,0,0,0,134379,84,43.6,13.9,33,0,0,0,0,0,0,3.55,32.6,Northern,2,0,0.0,33.33333333333333,23.100983135563744,Low-High (Outlier),0.043320568137149844
67,Lira,1,0,1,0,0,0,408043,92,80.0,16.4,40,0,0,0,0,0,0,2.25,32.9,Northern,2,0,0.0,33.33333333333333,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
68,Luuka,0,0,1,0,0,0,238020,95,65.6,31.0,38,0,0,0,0,0,0,0.75,33.3,Eastern,1,0,0.0,16.666666666666664,5.9166721255010675,Low-Low (Coldspot Cluster),0.13434842513483114
69,Luwero,0,0,0,0,0,0,456958,94,83.0,46.0,60,0,0,0,0,0,0,0.85,32.5,Central,0,0,0.0,0.0,10.301741176898577,Low-High (Outlier),0.11112006070975579
70,Lwengo,1,0,0,0,0,0,274953,22,76.0,45.0,50,0,0,0,0,0,0,-0.45,31.35,Central,1,0,0.0,16.666666666666664,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
71,Lyantonde,0,0,0,0,0,0,93753,73,89.0,58.0,66,0,0,0,0,0,0,-0.4,31.15,Central,0,0,0.0,0.0,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
72,Manafwa,1,1,0,0,1,0,353825,94,79.0,27.0,47,0,25,0,0,0,17,0.9,34.35,Eastern,3,42,11.870274853387974,50.0,78.73177230962831,High-High (Hotspot Cluster),-0.16556884888502918
73,Maracha,0,0,0,0,0,0,186134,91,82.0,45.0,65,0,30,19,18,0,0,3.2,30.85,Northern,0,67,35.9955730817583,0.0,134.6768004988457,High-High (Hotspot Cluster),0.01917998734640881
74,Masaka,1,0,1,1,0,0,297004,94,84.5,33.7,64,0,0,0,0,0,0,-0.33,31.73,Central,3,0,0.0,50.0,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
75,Masindi,0,0,0,0,0,0,291113,88,79.0,35.0,60,0,7,0,0,0,0,1.68,31.72,Western,0,7,2.4045645505353592,0.0,259.95903473889723,High-High (Hotspot Cluster),-1.1275978144929875
76,Mayuge,0,0,1,0,0,0,473239,81,68.0,35.0,43,0,0,0,0,0,140,0.45,33.47,Eastern,1,140,29.58336062750534,16.666666666666664,34.626488799769774,High-High (Hotspot Cluster),-0.0026483922679289553
77,Mbale,1,0,1,1,0,0,488960,95,81.0,25.0,45,0,375,0,0,59,96,1.08,34.18,Eastern,3,530,108.39332460732984,50.0,74.60730277513878,High-High (Hotspot Cluster),0.48582736150253397
78,Mbarara,0,0,0,0,0,1,472629,78,98.6,48.0,78,0,0,0,0,0,0,-0.61,30.65,Western,1,0,0.0,16.666666666666664,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
79,Mitooma,1,0,0,0,0,0,183444,79,92.0,43.0,40,0,0,0,0,0,0,-0.7,30.05,Western,1,0,0.0,16.666666666666664,10.168608235301594,Low-High (Outlier),0.1118252857468419
80,Mityana,0,0,0,0,0,0,328964,68,87.9,34.8,55,0,0,0,0,0,0,0.4,32.05,Central,0,0,0.0,0.0,5.791631467121419,Low-Low (Coldspot Cluster),0.13501078414143974
81,Moroto,1,1,0,0,1,0,103432,0,2.3,0.0,15,0,0,0,0,2,10,2.53,34.66,Eastern,3,12,11.601825353855673,50.0,0.0,High-Low (Outlier),0.110415861477536
82,Moyo,1,0,0,1,0,0,139012,96,94.0,57.0,85,0,0,0,97,0,0,3.65,31.72,Northern,2,97,69.77814864903749,33.33333333333333,22.97132186448678,High-High (Hotspot Cluster),-0.0442892258929563
83,Mpigi,1,0,0,0,0,0,250548,82,66.0,53.0,64,0,0,0,0,0,0,0.23,32.32,Central,1,0,0.0,16.666666666666664,5.791631467121419,Low-Low (Coldspot Cluster),0.13501078414143974
84,Mubende,0,0,1,0,0,0,684337,76,83.2,20.5,45,0,0,0,0,0,0,0.6,31.4,Central,1,0,0.0,16.666666666666664,9.833292573571372,Low-Low (Coldspot Cluster),0.11360150279081811
85,Mukono,1,0,0,0,0,0,596804,85,91.0,52.0,63,0,0,0,0,0,0,0.35,32.75,Central,1,0,0.0,16.666666666666664,10.301741176898577,Low-High (Outlier),0.11112006070975579
86,Nakapiripirit,1,1,1,0,0,0,156690,94,31.4,7.0,30,0,0,0,0,0,0,1.9,34.75,Eastern,3,0,0.0,50.0,7.644267491245341,Low-Low (Coldspot Cluster),0.1251970949586757
87,Nakaseke,0,1,1,0,0,0,197369,38,84.4,33.1,41,0,0,0,0,0,0,1.2,32.25,Central,2,0,0.0,33.33333333333333,0.4809129101070718,Low-Low (Coldspot Cluster),0.16314245197960647
88,Nakasongola,0,0,0,0,0,0,181799,67,87.0,35.0,58,0,0,0,0,0,0,1.35,32.45,Central,0,0,0.0,0.0,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
89,Namayingo,0,0,0,0,1,0,215442,77,61.5,17.8,30,0,0,0,109,0,264,0.3,33.75,Eastern,1,373,173.13244399884888,16.666666666666664,22.552713768263207,High-High (Hotspot Cluster),-0.18389430953349248
90,Namutumba,0,0,1,0,0,0,252562,95,84.1,23.0,53,0,0,0,0,0,15,0.83,33.68,Eastern,1,15,5.939135736967557,16.666666666666664,31.036845274240676,High-High (Hotspot Cluster),0.0010639990880722755
91,Napak,1,0,1,0,0,0,142224,100,22.0,5.8,17,0,0,0,0,0,0,2.4,34.25,Eastern,2,0,0.0,33.33333333333333,2.3203650707711345,Low-Low (Coldspot Cluster),0.15339859968684041
92,Nebbi,1,1,1,1,0,0,396794,88,80.0,37.0,67,0,1759,258,49,0,254,2.48,31.09,Western,4,2320,584.686260376921,66.66666666666666,217.80708239202994,High-High (Hotspot Cluster),15.623403634508398
93,Ngora,0,0,0,0,0,0,141919,90,84.0,42.0,63,0,0,0,0,0,0,1.5,33.78,Eastern,0,0,0.0,0.0,0.31016568016748947,Low-Low (Coldspot Cluster),0.16404692550901298
94,Ntoroko,1,1,1,0,0,0,67005,97,66.7,11.9,50,0,138,43,2,0,0,1.05,30.3,Western,3,183,273.113946720394,50.0,75.1163350697396,High-High (Hotspot Cluster),1.5913826092433714
95,Ntungamo,0,0,1,1,1,0,483841,86,94.9,23.0,50,0,0,0,0,0,0,-0.88,30.27,Western,3,0,0.0,50.0,10.168608235301594,Low-High (Outlier),0.1118252857468419
96,Nwoya,0,0,0,0,0,0,133506,88,74.8,12.9,67,0,2,0,0,0,0,2.6,32.0,Northern,0,2,1.4980600122840921,0.0,16.001418881181536,High-High (Hotspot Cluster),0.07744202091029286
97,Otuke,0,1,1,0,0,0,104254,85,66.0,14.0,35,0,0,0,0,0,0,2.4,33.35,Northern,2,0,0.0,33.33333333333333,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
98,Oyam,1,0,0,0,0,0,383644,75,89.9,29.0,65,0,0,0,0,0,0,2.28,32.4,Northern,1,0,0.0,16.666666666666664,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
99,Pader,0,1,0,0,0,0,178004,92,51.0,26.0,53,0,0,0,0,0,0,2.9,33.15,Northern,1,0,0.0,16.666666666666664,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
100,Pallisa,0,0,0,0,0,0,386890,83,87.0,36.0,75,0,0,0,0,0,6,1.15,33.7,Eastern,0,6,1.5508284008374473,0.0,9.206319175923504,High-Low (Outlier),0.11170878961496028
101,Rakai,0,1,1,0,0,1,516309,79,84.0,65.0,55,0,0,0,0,0,0,-0.75,31.4,Central,3,0,0.0,50.0,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
102,Rubirizi,0,0,0,0,0,0,129149,86,85.4,23.8,50,0,0,0,0,0,0,-0.27,30.1,Western,0,0,0.0,0.0,24.460713216842784,Low-High (Outlier),0.03611787520860382
103,Rukungiri,1,0,0,0,0,0,314694,75,98.9,51.1,68,123,37,0,0,0,0,-0.78,29.93,Western,1,160,50.843041176507974,16.666666666666664,0.0,High-Low (Outlier),-0.07653930878900445
104,Serere,1,1,1,0,0,0,285903,38,85.0,53.0,70,0,0,0,0,0,0,1.5,33.55,Eastern,3,0,0.0,50.0,0.31016568016748947,Low-Low (Coldspot Cluster),0.16404692550901298
105,Sheema,0,0,0,0,0,0,207343,99,89.0,65.0,53,0,0,0,0,0,0,-0.55,30.3,Western,0,0,0.0,0.0,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
106,Sironko,1,0,1,1,0,1,242422,49,77.0,35.0,35,0,25,0,0,0,159,1.23,34.25,Eastern,4,184,75.90070208149426,66.66666666666666,78.73177230962831,High-High (Hotspot Cluster),0.297225921249752
107,Soroti,1,1,1,0,1,0,296833,91,83.2,53.9,60,0,0,0,0,0,0,1.72,33.61,Eastern,4,0,0.0,66.66666666666666,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
108,Ssembabule,0,0,0,0,0,0,252597,94,70.0,16.1,48,0,0,0,0,0,0,-0.1,31.35,Central,0,0,0.0,0.0,0.0,Low-Low (Coldspot Cluster),0.1656899193516722
109,Tororo,1,0,1,0,0,1,517082,94,81.0,34.4,55,0,0,0,0,0,0,0.69,34.18,Eastern,3,0,0.0,50.0,65.3450790352116,Low-High (Outlier),-0.1804527049546675
110,Wakiso,0,0,0,0,1,0,1997418,91,89.7,58.0,70,0,0,0,0,149,0,0.4,32.47,Central,1,149,7.459630382824225,16.666666666666664,4.299705390556573,High-Low (Outlier),0.11225952181889963
111,Yumbe,1,0,0,0,0,0,484822,96,75.3,44.2,67,0,0,12,1,0,55,3.47,31.24,Northern,1,68,14.025766157476353,16.666666666666664,40.98594453125592,High-High (Hotspot Cluster),-0.03068168961314784
112,Zombo,1,1,0,0,0,0,240082,88,80.0,41.0,40,0,34,2,0,0,15,2.55,30.9,Western,2,51,21.242742063128432,33.33333333333333,334.36092380414163,High-High (Hotspot Cluster),-0.6248251433968584
