dist_id,district,lat,lon,region,year,flooded,cases,population,wat_cov,san_cov,hw_cov,score,case_rate_per_100k
27,Buyende,1.15,33.15,Eastern,2015,0,0,323067,91,81.3,25.3,43,0.0
27,Buyende,1.15,33.15,Eastern,2016,0,0,323067,91,81.3,25.3,43,0.0
28,Dokolo,1.92,33.13,Northern,2011,0,0,183093,86,89.0,46.0,65,0.0
28,Dokolo,1.92,33.13,Northern,2012,0,0,183093,86,89.0,46.0,65,0.0
28,Dokolo,1.92,33.13,Northern,2013,0,0,183093,86,89.0,46.0,65,0.0
28,Dokolo,1.92,33.13,Northern,2014,0,0,183093,86,89.0,46.0,65,0.0
28,Dokolo,1.92,33.13,Northern,2015,0,0,183093,86,89.0,46.0,65,0.0
28,Dokolo,1.92,33.13,Northern,2016,0,0,183093,86,89.0,46.0,65,0.0
29,Gomba,0.1,31.85,Central,2011,0,0,159922,81,55.0,27.0,30,0.0
29,Gomba,0.1,31.85,Central,2012,0,0,159922,81,55.0,27.0,30,0.0
29,Gomba,0.1,31.85,Central,2013,0,0,159922,81,55.0,27.0,30,0.0
29,Gomba,0.1,31.85,Central,2014,0,0,159922,81,55.0,27.0,30,0.0
29,Gomba,0.1,31.85,Central,2015,0,0,159922,81,55.0,27.0,30,0.0
29,Gomba,0.1,31.85,Central,2016,0,0,159922,81,55.0,27.0,30,0.0
30,Gulu,2.77,32.3,Northern,2011,0,0,436345,95,74.0,21.0,75,0.0
30,Gulu,2.77,32.3,Northern,2012,0,0,436345,95,74.0,21.0,75,0.0
30,Gulu,2.77,32.3,Northern,2013,1,0,436345,95,74.0,21.0,75,0.0
30,Gulu,2.77,32.3,Northern,2014,1,0,436345,95,74.0,21.0,75,0.0
30,Gulu,2.77,32.3,Northern,2015,0,0,436345,95,74.0,21.0,75,0.0
30,Gulu,2.77,32.3,Northern,2016,0,0,436345,95,74.0,21.0,75,0.0
31,Hoima,1.43,31.35,Western,2011,1,0,572986,83,91.0,40.0,65,0.0
31,Hoima,1.43,31.35,Western,2012,0,1117,572986,83,91.0,40.0,65,194.94368099744148
31,Hoima,1.43,31.35,Western,2013,0,126,572986,83,91.0,40.0,65,21.990066074912825
31,Hoima,1.43,31.35,Western,2014,0,3,572986,83,91.0,40.0,65,0.5235730017836387
31,Hoima,1.43,31.35,Western,2015,0,282,572986,83,91.0,40.0,65,49.21586216766204
31,Hoima,1.43,31.35,Western,2016,1,203,572986,83,91.0,40.0,65,35.42843978735955
32,Ibanda,-0.13,30.58,Western,2011,0,0,249625,90,89.0,36.4,70,0.0
32,Ibanda,-0.13,30.58,Western,2012,0,0,249625,90,89.0,36.4,70,0.0
32,Ibanda,-0.13,30.58,Western,2013,0,0,249625,90,89.0,36.4,70,0.0
32,Ibanda,-0.13,30.58,Western,2014,1,0,249625,90,89.0,36.4,70,0.0
32,Ibanda,-0.13,30.58,Western,2015,0,0,249625,90,89.0,36.4,70,0.0
32,Ibanda,-0.13,30.58,Western,2016,0,0,249625,90,89.0,36.4,70,0.0
33,Iganga,0.6,33.48,Eastern,2011,0,0,504197,97,76.8,23.8,43,0.0
33,Iganga,0.6,33.48,Eastern,2012,0,0,504197,97,76.8,23.8,43,0.0
33,Iganga,0.6,33.48,Eastern,2013,0,0,504197,97,76.8,23.8,43,0.0
33,Iganga,0.6,33.48,Eastern,2014,0,0,504197,97,76.8,23.8,43,0.0
33,Iganga,0.6,33.48,Eastern,2015,0,0,504197,97,76.8,23.8,43,0.0
33,Iganga,0.6,33.48,Eastern,2016,0,0,504197,97,76.8,23.8,43,0.0
34,Isingiro,-0.85,30.8,Western,2011,0,0,486360,41,91.4,35.6,50,0.0
34,Isingiro,-0.85,30.8,Western,2012,0,0,486360,41,91.4,35.6,50,0.0
34,Isingiro,-0.85,30.8,Western,2013,1,0,486360,41,91.4,35.6,50,0.0
34,Isingiro,-0.85,30.8,Western,2014,1,0,486360,41,91.4,35.6,50,0.0
34,Isingiro,-0.85,30.8,Western,2015,0,0,486360,41,91.4,35.6,50,0.0
34,Isingiro,-0.85,30.8,Western,2016,0,0,486360,41,91.4,35.6,50,0.0
35,Jinja,0.43,33.2,Eastern,2011,0,0,471242,96,75.3,16.5,30,0.0
35,Jinja,0.43,33.2,Eastern,2012,0,0,471242,96,75.3,16.5,30,0.0
35,Jinja,0.43,33.2,Eastern,2013,0,0,471242,96,75.3,16.5,30,0.0
35,Jinja,0.43,33.2,Eastern,2014,0,0,471242,96,75.3,16.5,30,0.0
35,Jinja,0.43,33.2,Eastern,2015,0,0,471242,96,75.3,16.5,30,0.0
35,Jinja,0.43,33.2,Eastern,2016,0,0,471242,96,75.3,16.5,30,0.0
36,Kaabong,3.52,34.15,Northern,2011,0,0,167879,96,21.3,31.4,28,0.0
36,Kaabong,3.52,34.15,Northern,2012,1,0,167879,96,21.3,31.4,28,0.0
36,Kaabong,3.52,34.15,Northern,2013,1,0,167879,96,21.3,31.4,28,0.0
36,Kaabong,3.52,34.15,Northern,2014,0,0,167879,96,21.3,31.4,28,0.0
36,Kaabong,3.52,34.15,Northern,2015,0,0,167879,96,21.3,31.4,28,0.0
36,Kaabong,3.52,34.15,Northern,2016,0,0,167879,96,21.3,31.4,28,0.0
37,Kabale,-1.25,29.99,Western,2011,0,0,528231,90,96.0,23.0,50,0.0
37,Kabale,-1.25,29.99,Western,2012,0,0,528231,90,96.0,23.0,50,0.0
37,Kabale,-1.25,29.99,Western,2013,0,0,528231,90,96.0,23.0,50,0.0
37,Kabale,-1.25,29.99,Western,2014,1,0,528231,90,96.0,23.0,50,0.0
37,Kabale,-1.25,29.99,Western,2015,1,0,528231,90,96.0,23.0,50,0.0
37,Kabale,-1.25,29.99,Western,2016,1,0,528231,90,96.0,23.0,50,0.0
38,Kabarole,0.65,30.27,Western,2011,1,0,469236,90,83.7,52.8,55,0.0
38,Kabarole,0.65,30.27,Western,2012,0,0,469236,90,83.7,52.8,55,0.0
38,Kabarole,0.65,30.27,Western,2013,1,0,469236,90,83.7,52.8,55,0.0
38,Kabarole,0.65,30.27,Western,2014,0,0,469236,90,83.7,52.8,55,0.0
38,Kabarole,0.65,30.27,Western,2015,0,0,469236,90,83.7,52.8,55,0.0
38,Kabarole,0.65,30.27,Western,2016,0,0,469236,90,83.7,52.8,55,0.0
39,Kaberamaido,1.75,33.2,Eastern,2011,1,0,215026,97,83.0,30.0,65,0.0
39,Kaberamaido,1.75,33.2,Eastern,2012,1,0,215026,97,83.0,30.0,65,0.0
39,Kaberamaido,1.75,33.2,Eastern,2013,0,0,215026,97,83.0,30.0,65,0.0
39,Kaberamaido,1.75,33.2,Eastern,2014,0,0,215026,97,83.0,30.0,65,0.0
39,Kaberamaido,1.75,33.2,Eastern,2015,0,0,215026,97,83.0,30.0,65,0.0
39,Kaberamaido,1.75,33.2,Eastern,2016,0,0,215026,97,83.0,30.0,65,0.0
40,Kalangala,-0.35,32.25,Central,2011,0,0,54293,85,69.0,3.0,45,0.0
40,Kalangala,-0.35,32.25,Central,2012,0,0,54293,85,69.0,3.0,45,0.0
40,Kalangala,-0.35,32.25,Central,2013,0,0,54293,85,69.0,3.0,45,0.0
40,Kalangala,-0.35,32.25,Central,2014,0,0,54293,85,69.0,3.0,45,0.0
40,Kalangala,-0.35,32.25,Central,2015,0,0,54293,85,69.0,3.0,45,0.0
40,Kalangala,-0.35,32.25,Central,2016,0,0,54293,85,69.0,3.0,45,0.0
41,Kaliro,0.9,33.5,Eastern,2011,0,0,236199,98,74.2,31.6,50,0.0
41,Kaliro,0.9,33.5,Eastern,2012,0,0,236199,98,74.2,31.6,50,0.0
41,Kaliro,0.9,33.5,Eastern,2013,0,0,236199,98,74.2,31.6,50,0.0
41,Kaliro,0.9,33.5,Eastern,2014,0,0,236199,98,74.2,31.6,50,0.0
41,Kaliro,0.9,33.5,Eastern,2015,0,0,236199,98,74.2,31.6,50,0.0
41,Kaliro,0.9,33.5,Eastern,2016,0,0,236199,98,74.2,31.6,50,0.0
42,Kalungu,-0.25,31.75,Central,2011,0,0,183232,69,92.5,51.2,68,0.0
42,Kalungu,-0.25,31.75,Central,2012,0,0,183232,69,92.5,51.2,68,0.0
42,Kalungu,-0.25,31.75,Central,2013,0,0,183232,69,92.5,51.2,68,0.0
42,Kalungu,-0.25,31.75,Central,2014,0,0,183232,69,92.5,51.2,68,0.0
42,Kalungu,-0.25,31.75,Central,2015,0,0,183232,69,92.5,51.2,68,0.0
42,Kalungu,-0.25,31.75,Central,2016,1,0,183232,69,92.5,51.2,68,0.0
43,Kampala,0.3476,32.5825,Central,2011,1,0,1507080,94,89.5,38.0,58,0.0
43,Kampala,0.3476,32.5825,Central,2012,1,0,1507080,94,89.5,38.0,58,0.0
43,Kampala,0.3476,32.5825,Central,2013,1,0,1507080,94,89.5,38.0,58,0.0
43,Kampala,0.3476,32.5825,Central,2014,0,4,1507080,94,89.5,38.0,58,0.2654139129973193
43,Kampala,0.3476,32.5825,Central,2015,0,293,1507080,94,89.5,38.0,58,19.44156912705364
43,Kampala,0.3476,32.5825,Central,2016,1,27,1507080,94,89.5,38.0,58,1.7915439127319055
44,Kamuli,0.95,33.12,Eastern,2011,0,0,486319,96,70.2,38.0,50,0.0
44,Kamuli,0.95,33.12,Eastern,2012,0,0,486319,96,70.2,38.0,50,0.0
44,Kamuli,0.95,33.12,Eastern,2013,1,0,486319,96,70.2,38.0,50,0.0
44,Kamuli,0.95,33.12,Eastern,2014,0,0,486319,96,70.2,38.0,50,0.0
44,Kamuli,0.95,33.12,Eastern,2015,0,0,486319,96,70.2,38.0,50,0.0
44,Kamuli,0.95,33.12,Eastern,2016,0,0,486319,96,70.2,38.0,50,0.0
45,Kamwenge,0.18,30.55,Western,2011,0,0,414454,67,80.2,26.0,48,0.0
45,Kamwenge,0.18,30.55,Western,2012,0,0,414454,67,80.2,26.0,48,0.0
45,Kamwenge,0.18,30.55,Western,2013,0,0,414454,67,80.2,26.0,48,0.0
45,Kamwenge,0.18,30.55,Western,2014,0,0,414454,67,80.2,26.0,48,0.0
45,Kamwenge,0.18,30.55,Western,2015,1,0,414454,67,80.2,26.0,48,0.0
45,Kamwenge,0.18,30.55,Western,2016,1,0,414454,67,80.2,26.0,48,0.0
46,Kanungu,-0.9,29.78,Western,2011,1,0,252144,74,93.0,51.0,50,0.0
